domain,phylum,class,order,family,genus,species,acronym,exists_in_registry,gram_stain,microorganism_code,microorganism_name
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,"influenzae, beta-lactamase positive",H_I_B_P,False,,"Haemophilus influenzae, beta-lactamase positive","Haemophilus influenzae, beta-lactamase positive"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,parainfluenzae,HAEM_PARAI,True,,Haemophilus parainfluenzae,Haemophilus parainfluenzae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hafnia,alvei,HAFN_ALVE,True,,Hafnia alvei,Hafnia alvei
,,,,,Herbaspirillum,species,HERB_SPEC,False,,Herbaspirillum species,Herbaspirillum species
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Kingella,species,KING_SPEC,False,,Kingella species,Kingella species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,(raoultella) ornithinolytica,KLEB_(RAO,False,n,Klebsiella (raoultella) ornithinolytica,Klebsiella (raoultella) ornithinolytica
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,(raoultella) planticola,KLEB_(RAOU,False,n,Klebsiella (raoultella) planticola,Klebsiella (raoultella) planticola
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,oxytoca,KLEB_OXYT,True,n,Klebsiella oxytoca,Klebsiella oxytoca
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,pneumoniae,KLEB_PNEU,True,n,Klebsiella pneumoniae,Klebsiella pneumoniae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,species,KLEB_SPEC,False,n,Klebsiella species,Klebsiella species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,species,KLUY_SPEC,False,n,Kluyvera species,Kluyvera species
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,kristinae,KOCU_KRIS,False,,Kocuria kristinae,Kocuria kristinae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,casei/paracasei/zeae,LACT_CASEI/,False,p,Lactobacillus casei/paracasei/zeae,Lactobacillus casei/paracasei/zeae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,fermentum,LACT_FERM,False,p,Lactobacillus fermentum,Lactobacillus fermentum
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rhamnosus,LACT_RHAMN,True,p,Lactobacillus rhamnosus,Lactobacillus rhamnosus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,species,LACT_SPEC,False,p,Lactobacillus species,Lactobacillus species
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,species,LACT_SPECI,False,,Lactococcus species,Lactococcus species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,adecarboxylata,LECL_ADEC,True,,Leclercia adecarboxylata,Leclercia adecarboxylata
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,species,LEPT_SPEC,False,n,Leptotrichia species,Leptotrichia species
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,trevisanii,LEPT_TREV,True,n,Leptotrichia trevisanii,Leptotrichia trevisanii
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,species,LEUC_SPEC,False,,Leuconostoc species,Leuconostoc species
Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,monocytogenes,LIST_MONO,True,p,Listeria monocytogenes,Listeria monocytogenes
,,,,,Mixed,bacterial flora,MIXE_BACT,False,,Mixed bacterial flora,Mixed bacterial flora
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,catarrhalis,MORA_CATA,True,n,Moraxella catarrhalis,Moraxella catarrhalis
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,nonliquifaciens ,MORA_NONLI,False,n,Moraxella nonliquifaciens ,Moraxella nonliquifaciens 
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,osloensis,MORA_OSLO,True,n,Moraxella osloensis,Moraxella osloensis
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Morganella,morganii,MORG_MORG,True,n,Morganella morganii,Morganella morganii
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,gonorrhoeae,NEIS_GONO,True,n,Neisseria gonorrhoeae,Neisseria gonorrhoeae
,,,,,"Non-Fermenter,",not pseudomonas aeruginosa,N_N_P_A,False,,"Non-fermenter, not pseudomonas aeruginosa","Non-fermenter, not pseudomonas aeruginosa"
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,anthropi,OCHR_ANTH,True,,Ochrobactrum anthropi,Ochrobactrum anthropi
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,intermedium,OCHR_INTE,True,,Ochrobactrum intermedium,Ochrobactrum intermedium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,species,OCHR_SPEC,False,,Ochrobactrum species,Ochrobactrum species
